country,id,value,extraInfo,text_content,link_text,link_url_target,audio_url_1,audio_url_2,audio_url_3,image_url_source,image_url_target,video_url
Belgium,BE,69,false,69 out of 100,,,,,,,,
Bulgaria,BG,40,false,40 out of 100,,,,,,,,
Czechia,CZ,59,false,59 out of 100,,,,,,,,
Denmark,DK,89,false,89 out of 100,,,,,,,,
Germany,DE,77,false,77 out of 100,,,,,,,,
Estonia,EE,76,false,76 out of 100,,,,,,,,
Ireland,IE,76,false,76 out of 100,,,,,,,,
Greece,EL,50,false,50 out of 100,,,,,,,,
Spain,ES,55,false,55 out of 100,,,,,,,,
France,FR,66,false,66 out of 100,,,,,,,,
Croatia,HR,47,false,47 out of 100,,,,,,,,
Italy,IT,53,false,53 out of 100,,,,,,,,
Cyprus,CY,55,false,55 out of 100,,,,,,,,
Latvia,LV,60,false,60 out of 100,,,,,,,,
Lithuania,LT,65,false,65 out of 100,,,,,,,,
Luxembourg,LU,78,false,78 out of 100,,,,,,,,
Hungary,HU,40,false,40 out of 100,,,,,,,,
Malta,MT,49,false,49 out of 100,,,,,,,,
Netherlands,NL,78,false,78 out of 100,,,,,,,,
Austria,AT,69,false,69 out of 100,,,,,,,,
Poland,PL,53,false,53 out of 100,,,,,,,,
Portugal,PT,56,false,56 out of 100,,,,,,,,
Romania,RO,45,false,45 out of 100,,,,,,,,
Slovenia,SI,58,false,58 out of 100,,,,,,,,
Slovakia,SK,48,false,48 out of 100,,,,,,,,
Finland,FI,88,false,88 out of 100,,,,,,,,
Sweden,SE,80,false,80 out of 100,,,,,,,,
